uuid,occurrenceID,raw_institutionCode,raw_collectionCode,taxonConceptID,eventDate,occurrenceYear,scientificName,taxonRank,taxonRankID,country,kingdom,phylum,classs,order,family,genus,genusGuid,species,speciesGuid,stateProvince,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,basisOfRecord,left,right,dataProviderUid,dataProviderName,dataResourceUid,dataResourceName,assertions,speciesGroups,geospatialKosher,taxonomicKosher,collector,collectors,raw_scientificName,latLong,point1,point01,point001,point0001,point00001,namesLsid,license,identificationVerificationStatus,gridReference,vitality,raw_taxonId,publicResolutionInMeters,vernacularName,raw_locationRemarks,lifeStage,locationId,raw_samplingProtocol,raw_vernacularName,raw_occurrenceRemarks,raw_catalogNumber,image,images,multimedia,imageUrl,largeImageUrl,smallImageUrl,thumbnailUrl,imageUrls,eventDateEnd,miscDateProperties.occurrence_date_end_dt
ac8d789c-d4ec-41dc-9f78-dc8d17b05805,2757326,LRERC,Recorders,NBNSYS0000031892,1665878400000.0,1640995200000,Diplolepis nervosa,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis nervosa,NBNSYS0000031892,England,52.749845,-1.571806,1414.2,2022,10,HumanObservation,77697,77697,dp156,Leicestershire and Rutland Environmental Records Centre,dr2467,Leicestershire and Rutland Environmental Records Centre records 2020-2024,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,-Withheld-,['-Withheld-'],Diplolepis nervosa,"52.749845,-1.571806","53,-2","52.7,-1.6","52.75,-1.57","52.75,-1.572","52.7498,-1.5718",Diplolepis nervosa|NBNSYS0000031892||Animalia|Cynipidae,CC-BY-NC,Accepted - considered correct,SK21Y,not recorded,NBNSYS0000031892,0.0,,,,,,,,,,,,,,,,,,
41284685-20c2-4359-9fcb-6ee1a4c90f0c,DSS000120000PHNG,,DSS000120000003X,NBNSYS0000031893,1351728000000.0,1325376000000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,53.339252,-2.189192,707.1,2012,11,HumanObservation,77699,77699,dp133,Record,dr3310,"Record species dataset covering Cheshire, Halton, Warrington & Wirral","['firstOfMonth', 'decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,not provided,['not provided'],Diplolepis rosae,"53.339252,-2.189192","53,-2","53.3,-2.2","53.34,-2.19","53.339,-2.189","53.3393,-2.1892",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Unconfirmed - not reviewed,SJ8782,not recorded,NBNSYS0000031893,0.0,Bedeguar Gall,"Woodford, Cheshire",['None'],DSS00012000000NH,field record,,,,,,,,,,,,,
992eeb8b-4fe0-4ad1-9cb7-dc5fe1e97f5f,7969485,,NatureSpot | Records,NBNSYS0000031892,1537056000000.0,1514764800000,Diplolepis nervosa,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis nervosa,NBNSYS0000031892,England,52.686639,-0.564208,70.7,2018,09,HumanObservation,77697,77697,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"lemmon, roy","['Lemmon, R. Roy']","Diplolepis nervosa (Curtis, 1838)","52.686639,-0.564208","53,-1","52.7,-0.6","52.69,-0.56","52.687,-0.564","52.6866,-0.5642",Diplolepis nervosa|NBNSYS0000031892||Animalia|Cynipidae,CC-BY,Accepted - considered correct,SK971108,,NBNSYS0000031892,0.0,,,,,,Sputnik Gall Wasp,,,,,,,,,,,,
a612a162-1295-4c54-b4bd-f7e10d1ef52a,2014823,LRERC,Recorders,NBNSYS0000031893,1604793600000.0,1577836800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.838642,-1.333409,1414.2,2020,11,HumanObservation,77699,77699,dp156,Leicestershire and Rutland Environmental Records Centre,dr2467,Leicestershire and Rutland Environmental Records Centre records 2020-2024,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,-Withheld-,['-Withheld-'],Diplolepis rosae,"52.838642,-1.333409","53,-1","52.8,-1.3","52.84,-1.33","52.839,-1.333","52.8386,-1.3334",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Accepted - considered correct,SK42N,not recorded,NBNSYS0000031893,0.0,Bedeguar Gall,,,,,,,,,,,,,,,,,
ee5febe1-db11-47d5-991e-31a568788845,32517946,,NatureSpot | Records,NBNSYS0000031893,1692230400000.0,1672531200000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.688001,-0.528655,70.7,2023,08,HumanObservation,77699,77699,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"lemmon, roy","['Lemmon, R. Roy']","Diplolepis rosae (Linnaeus, 1758)","52.688001,-0.528655","53,-1","52.7,-0.5","52.69,-0.53","52.688,-0.529","52.688,-0.5287",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY,Accepted - considered correct,SK995110,,NBNSYS0000031893,0.0,Bedeguar Gall,,['gall'],,,Robin's Pin-Cushion Gall,On Rosa canina.,,,,,,,,,,,
d9cf3d6c-2fa7-4c9e-8dd1-d289f86e55bd,1566,,,NBNSYS0000031893,963273600000.0,946684800000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.878788,-1.280787,707.1,2000,07,HumanObservation,77699,77699,dp170,Derbyshire Biological Records Centre,dr1345,DBRC Hymenoptera species records 1975 to 2015,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Whiteley, Mr D.","['Whiteley, D.']",Diplolepis rosae,"52.878788,-1.280787","53,-1","52.9,-1.3","52.88,-1.28","52.879,-1.281","52.8788,-1.2808",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Unconfirmed,SK4831,,NBNSYS0000031893,,Bedeguar Gall,,,20671393,,,,,,,,,,,,,,
2b7de0b7-92e1-4ac4-836c-875837bd91e2,4382711,,NatureSpot | Records,NBNSYS0000031893,1409788800000.0,1388534400000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.659286,-1.187554,70.7,2014,09,HumanObservation,77699,77699,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Higgott, Mike","['Higgott, M. Mike']","Diplolepis rosae (Linnaeus, 1758)","52.659286,-1.187554","53,-1","52.7,-1.2","52.66,-1.19","52.659,-1.188","52.6593,-1.1876",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY,Accepted - correct,SK550071,,NBNSYS0000031893,0.0,Bedeguar Gall,,,,,Robin's Pin-Cushion Gall,,,,,,,,,,,,
e735c61f-8096-4cdd-bd7a-f6a495860ab7,38535706,,NatureSpot | Records,NBNSYS0000031893,1726444800000.0,1704067200000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.556701,-1.173225,70.7,2024,09,HumanObservation,77699,77699,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Skevington, Mark","['Skevington, M. Mark']","Diplolepis rosae (Linnaeus, 1758)","52.556701,-1.173225","53,-1","52.6,-1.2","52.56,-1.17","52.557,-1.173","52.5567,-1.1732",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY,Accepted - correct,SP561957,,NBNSYS0000031893,0.0,Bedeguar Gall,,['gall'],,,Robin's Pin-Cushion Gall,Galls on Dog Rose,,,,,,,,,,,
fcee5345-689e-4eef-b150-eea337d2f2ee,20056241,,NatureSpot | Records,NBNSYS0000031893,1615766400000.0,1609459200000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,52.62986,-0.793608,70.7,2021,03,HumanObservation,77699,77699,dp154,NatureSpot,dr855,All taxa records for Leicestershire and Rutland,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,"Nicholls, David","['Nicholls, D. David']","Diplolepis rosae (Linnaeus, 1758)","52.62986,-0.793608","53,-1","52.6,-0.8","52.63,-0.79","52.63,-0.794","52.6299,-0.7936",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY,Accepted - considered correct,SK817042,,NBNSYS0000031893,0.0,Bedeguar Gall,,['gall'],,,Robin's Pin-Cushion Gall,old gall on dog rose,,,,,,,,,,,
ad469b04-5f03-4c8e-9195-9b61df0d26da,DSS001890000AB3C,,DSS001890000000O,NBNSYS0000031893,1030838400000.0,1009843200000,Diplolepis rosae,species,7000,United Kingdom,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,NHMSYS0020704994,Diplolepis rosae,NBNSYS0000031893,England,53.114391,-2.262902,707.1,2002,09,HumanObservation,77699,77699,dp133,Record,dr3310,"Record species dataset covering Cheshire, Halton, Warrington & Wirral","['firstOfMonth', 'decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Arthropods', 'Insects']",true,true,not provided,['not provided'],Diplolepis rosae,"53.114391,-2.262902","53,-2","53.1,-2.3","53.11,-2.26","53.114,-2.263","53.1144,-2.2629",Diplolepis rosae|NBNSYS0000031893|Bedeguar Gall|Animalia|Cynipidae,CC-BY-NC,Unconfirmed - not reviewed,SJ8257,not recorded,NBNSYS0000031893,0.0,Bedeguar Gall,Scholar Green,['None'],DSS000120000095V,field record,,,,,,,,,,,,,
